id_evaluacion,id_cliente,fecha_evaluacion,score_crediticio,ingresos_mensuales,deuda_total,ratio_endeudamiento,num_impagos_12m,utilizacion_credito_pct,nivel_riesgo,probabilidad_impago
57,16,2025-12-31,777,2503.19,8479.89,28.23,0,26.44,bajo,0.04581
58,16,2026-03-31,770,2503.19,30088.51,100.17,0,18.35,medio,0.16204
59,16,2026-06-30,779,2503.19,40287.61,120,0,30.61,medio,0.19425
60,17,2025-12-31,751,2276.84,32661.49,119.54,0,35.34,alto,0.2206
61,17,2026-03-31,761,2276.84,14349.35,52.52,0,59.92,bajo,0.07538
62,17,2026-06-30,745,2276.84,38345.16,120,0,33.56,alto,0.22911
63,18,2025-09-30,699,2954.35,2385.25,6.73,0,34.03,medio,0.16546
64,18,2025-12-31,694,2954.35,18043.37,50.9,0,51.88,medio,0.19018
65,18,2026-03-31,698,2954.35,572.42,1.61,0,30.68,medio,0.16798
66,18,2026-06-30,714,2954.35,33104.31,93.38,0,31.93,alto,0.2279
67,19,2026-06-30,686,1544.82,17722.63,95.6,0,14.0,alto,0.30192
68,20,2025-09-30,808,2955.03,3590.21,10.12,0,49.86,bajo,0.0266
69,20,2025-12-31,818,2955.03,51572.65,120,0,46.67,medio,0.17227
70,20,2026-03-31,801,2955.03,29626.27,83.55,0,64.15,medio,0.10719
71,20,2026-06-30,820,2955.03,48219.42,120,0,49.08,medio,0.1715
72,21,2025-09-30,654,5293.66,28042.26,44.14,0,19.0,alto,0.31003
73,21,2025-12-31,676,5293.66,67351.05,106.02,0,48.34,alto,0.35352
74,21,2026-03-31,665,5293.66,83725.43,120,0,0,alto,0.41894
75,21,2026-06-30,662,5293.66,8684.33,13.67,0,34.03,alto,0.2798
76,22,2025-09-30,708,2940.13,18686.02,52.96,0,29.51,medio,0.16
77,22,2025-12-31,694,2940.13,15312.75,43.4,0,36.86,medio,0.17839
78,22,2026-03-31,737,2940.13,10100.09,28.63,0,33.63,medio,0.09037
79,22,2026-06-30,705,2940.13,35388.12,100.3,0,36.69,alto,0.26154
80,23,2025-09-30,762,1379.05,5497.56,33.22,0,10.79,bajo,0.05932
81,23,2025-12-31,735,1379.05,17422.34,105.28,0,0,medio,0.21397
82,23,2026-03-31,763,1379.05,1908.26,11.53,0,14.19,bajo,0.05831
83,23,2026-06-30,741,1379.05,12181.61,73.61,0,37.71,medio,0.14179
84,24,2025-09-30,674,3008.31,51478.99,120,1,32.41,alto,0.41301
85,24,2025-12-31,696,3008.31,22811.65,63.19,1,69.71,alto,0.23451
86,24,2026-03-31,665,3008.31,27683.62,76.69,1,58.98,alto,0.35731
87,24,2026-06-30,666,3008.31,51653.55,120,1,57.56,alto,0.44038
88,25,2025-09-30,683,2822.79,29456.32,86.96,0,70.21,alto,0.29353
89,25,2025-12-31,709,2822.79,5452.68,16.1,0,63.4,medio,0.14185
90,25,2026-03-31,671,2822.79,6606.57,19.5,0,32.32,alto,0.24804
91,25,2026-06-30,674,2822.79,38697.41,114.24,0,33.82,alto,0.37649
92,26,2026-03-31,741,2580.56,36836.14,118.95,0,45.4,alto,0.23248
93,26,2026-06-30,742,2580.56,21645.0,69.9,0,23.22,medio,0.13297
94,27,2025-09-30,753,3034.41,54281.46,120,0,13.11,medio,0.21914
95,27,2025-12-31,729,3034.41,3980.45,10.93,0,43.38,medio,0.10306
96,27,2026-03-31,755,3034.41,6315.34,17.34,0,35.88,bajo,0.06683
97,27,2026-06-30,781,3034.41,22933.85,62.98,0,31.71,bajo,0.0787
98,28,2025-09-30,627,289.04,838.92,24.19,0,32.75,alto,0.42334
99,28,2025-12-31,643,289.04,2398.56,69.15,0,40.04,alto,0.40265
100,28,2026-03-31,623,289.04,4773.42,120,0,81.6,alto,0.59118
101,28,2026-06-30,639,289.04,2052.46,59.17,0,40.43,alto,0.3995
102,29,2025-09-30,742,3007.11,39362.97,109.08,0,25.75,medio,0.21134
103,29,2025-12-31,744,3007.11,18139.98,50.27,0,28.97,medio,0.09098
104,29,2026-03-31,679,3007.11,14501.15,40.19,0,32.14,alto,0.22191
105,29,2026-06-30,722,3007.11,9349.53,25.91,0,9.75,medio,0.11544
106,30,2026-06-30,674,2261.21,30419.87,112.11,0,31.71,alto,0.37222
107,31,2025-09-30,639,1866.01,8783.53,39.23,0,32.21,alto,0.37115
108,31,2025-12-31,697,1866.01,19295.21,86.17,0,41.81,alto,0.25288
109,31,2026-03-31,690,1866.01,12343.55,55.12,0,38.73,medio,0.20955
110,31,2026-06-30,679,1866.01,19270.89,86.06,0,47.69,alto,0.30404
111,32,2025-09-30,699,2227.28,608.54,2.28,0,58.58,medio,0.16546
112,32,2025-12-31,710,2227.28,23897.02,89.41,0,7.8,alto,0.22847
113,32,2026-03-31,715,2227.28,24340.8,91.07,0,52.34,alto,0.22122
114,32,2026-06-30,696,2227.28,13494.17,50.49,0,34.22,medio,0.1841
115,33,2025-09-30,629,1538.52,3950.14,21.4,0,50.95,alto,0.41449
116,33,2025-12-31,633,1538.52,1817.01,9.84,0,11.45,alto,0.39695
117,33,2026-03-31,665,1538.52,24757.79,120,0,23.88,alto,0.41894
118,33,2026-06-30,612,1538.52,6282.61,34.03,0,19.03,alto,0.49091
119,34,2025-09-30,743,1876.06,28017.32,120,0,53.95,alto,0.2318
120,34,2025-12-31,707,1876.06,24084.91,106.98,0,17.76,alto,0.2703
121,34,2026-03-31,784,1876.06,20290.35,90.13,0,29.73,medio,0.13081
122,34,2026-06-30,764,1876.06,24938.54,110.78,0,18.84,medio,0.18887
123,35,2025-09-30,729,2307.13,29968.76,108.25,0,6.97,alto,0.22956
124,35,2025-12-31,691,2307.13,38584.34,120,0,7.94,alto,0.33653
125,35,2026-03-31,706,2307.13,2268.14,8.19,0,10.58,medio,0.14862
126,35,2026-06-30,702,2307.13,39835.17,120,0,28.99,alto,0.30806
127,36,2025-09-30,703,873.19,7232.54,69.02,0,53.27,medio,0.2037
128,36,2025-12-31,685,873.19,1290.5,12.32,0,40.13,medio,0.20365
129,36,2026-03-31,703,873.19,8449.52,80.64,0,65.71,alto,0.22693
130,36,2026-06-30,713,873.19,7169.69,68.42,0,61.45,medio,0.18007
131,37,2025-09-30,826,7486.93,44297.62,49.31,0,58.73,bajo,0.02793
132,37,2025-12-31,809,7486.93,96769.74,107.71,0,16.25,medio,0.15155
133,37,2026-03-31,819,7486.93,40823.78,45.44,0,71.94,bajo,0.02276
134,37,2026-06-30,822,7486.93,3323.83,3.7,0,34.64,bajo,0.02074
135,38,2026-03-31,670,1789.72,28905.31,120,0,69.61,alto,0.40145
136,38,2026-06-30,686,1789.72,21577.8,100.47,0,14.04,alto,0.31166
137,39,2025-09-30,642,5784.77,99778.93,120,0,4.25,alto,0.50851
138,39,2025-12-31,672,5784.77,35565.45,51.23,0,24.93,alto,0.25713
139,39,2026-03-31,611,5784.77,75918.16,109.37,0,21.08,alto,0.62418
140,39,2026-06-30,650,5784.77,41111.31,59.22,0,19.62,alto,0.35424
141,40,2026-06-30,744,1771.09,15759.39,74.15,0,40.56,medio,0.13874
142,41,2025-09-30,736,3135.59,39220.58,104.23,0,41.59,medio,0.21035
143,41,2025-12-31,731,3135.59,54382.05,120,0,50.01,alto,0.24975
144,41,2026-03-31,742,3135.59,20972.35,55.74,0,54.44,medio,0.10465
145,41,2026-06-30,742,3135.59,26202.02,69.64,0,27.35,medio,0.13244
146,42,2025-09-30,685,1221.84,12083.42,82.41,0,44.67,alto,0.27848
147,42,2025-12-31,681,1221.84,19494.54,120,0,46.0,alto,0.3657
148,42,2026-03-31,694,1221.84,15497.78,105.7,0,27.32,alto,0.29979
149,42,2026-06-30,708,1221.84,18410.58,120,0,28.3,alto,0.29408
150,43,2025-09-30,804,1836.22,11676.06,52.99,0,37.84,bajo,0.04453
151,43,2025-12-31,837,1836.22,22713.29,103.08,0,43.06,medio,0.13203
152,43,2026-03-31,825,1836.22,23329.99,105.88,0,43.55,medio,0.14142
153,43,2026-06-30,811,1836.22,30752.06,120,0,58.51,medio,0.17522
154,44,2025-09-30,703,2470.15,24906.13,84.02,0,22.57,alto,0.2337
155,44,2025-12-31,720,2470.15,9180.38,30.97,0,36.98,medio,0.1192
156,44,2026-03-31,713,2470.15,1691.05,5.7,0,18.83,medio,0.13323
157,44,2026-06-30,693,2470.15,32475.67,109.56,0,73.16,alto,0.31019
158,45,2025-09-30,859,1687.05,20759.71,102.54,1,47.09,medio,0.15078
159,45,2025-12-31,851,1687.05,19897.51,98.29,1,69.95,medio,0.14392
160,45,2026-03-31,870,1687.05,26763.12,120,1,49.49,medio,0.18377
161,45,2026-06-30,869,1687.05,4962.02,24.51,1,14.47,bajo,0.03393
162,46,2025-09-30,713,2606.1,9077.8,29.03,0,43.85,medio,0.13323
163,46,2025-12-31,674,2606.1,13897.67,44.44,0,21.49,alto,0.23801
164,46,2026-03-31,674,2606.1,14195.16,45.39,0,46.96,alto,0.23879
165,46,2026-06-30,654,2606.1,32165.86,102.85,0,50.08,alto,0.42573
166,47,2025-09-30,735,2427.28,24270.95,83.33,3,84.45,alto,0.24506
167,47,2025-12-31,684,2427.28,45499.79,120,3,51.06,alto,0.43161
168,47,2026-03-31,667,2427.28,21982.76,75.47,3,28.34,alto,0.39779
169,47,2026-06-30,651,2427.28,33463.8,114.89,3,58.98,alto,0.53659
170,48,2025-09-30,736,2468.02,7845.5,26.49,0,24.61,medio,0.09188
171,48,2025-12-31,753,2468.02,4473.82,15.11,0,23.42,bajo,0.06914
172,48,2026-03-31,734,2468.02,35708.98,120,0,55.77,alto,0.24496
173,48,2026-06-30,707,2468.02,12304.28,41.55,0,0,medio,0.14634
174,49,2026-03-31,616,747.0,3207.44,35.78,0,23.47,alto,0.47275
175,49,2026-06-30,668,747.0,589.55,6.58,0,33.79,alto,0.25835
176,50,2025-09-30,736,3408.77,9179.04,22.44,0,40.26,medio,0.09188
177,50,2025-12-31,751,3408.77,2365.73,5.78,0,73.09,bajo,0.07152
178,50,2026-03-31,783,3408.77,49405.89,120,0,63.08,medio,0.19127
179,50,2026-06-30,728,3408.77,24505.31,59.91,0,32.24,medio,0.13457
180,51,2025-09-30,682,1861.67,27758.4,120,0,12.81,alto,0.36264
181,51,2025-12-31,706,1861.67,14906.17,66.72,0,29.71,medio,0.19207
182,51,2026-03-31,687,1861.67,2201.49,9.85,0,32.88,medio,0.19782
183,51,2026-06-30,652,1861.67,3723.47,16.67,0,7.06,alto,0.31786
184,52,2025-09-30,789,3628.78,4550.68,10.45,0,42.86,bajo,0.03716
185,52,2025-12-31,767,3628.78,35574.97,81.7,0,16.0,medio,0.12784
186,52,2026-03-31,750,3628.78,49462.5,113.59,0,27.07,medio,0.20991
187,52,2026-06-30,761,3628.78,8433.78,19.37,0,46.28,bajo,0.06034
188,53,2026-06-30,752,2959.57,47024.57,120,0,60.14,alto,0.22032
189,54,2025-09-30,746,3684.08,47691.74,107.88,1,56.52,alto,0.22855
190,54,2025-12-31,750,3684.08,33541.49,75.87,1,30.28,medio,0.15947
191,54,2026-03-31,755,3684.08,35679.88,80.71,1,52.1,medio,0.16325
192,54,2026-06-30,722,3684.08,50087.2,113.3,1,30.2,alto,0.27703
193,55,2025-09-30,751,2128.49,36666.42,120,0,36.36,alto,0.22152
194,55,2025-12-31,746,2128.49,13510.41,52.9,0,25.76,medio,0.09358
195,55,2026-03-31,776,2128.49,21556.81,84.4,0,48.1,medio,0.12541
196,55,2026-06-30,772,2128.49,25112.03,98.32,0,54.43,medio,0.15659
197,56,2025-09-30,695,2143.09,11809.32,45.92,0,0,medio,0.17758
198,56,2025-12-31,660,2143.09,22278.32,86.63,0,38.58,alto,0.37044
199,56,2026-03-31,680,2143.09,36731.79,120,0,20.69,alto,0.36879
200,56,2026-06-30,699,2143.09,33736.11,120,0,0,alto,0.31546
201,57,2025-09-30,760,1797.73,13780.81,63.88,0,3.82,medio,0.09914
202,57,2025-12-31,768,1797.73,17063.92,79.1,0,0,medio,0.12172
203,57,2026-03-31,798,1797.73,20503.3,95.04,0,37.83,medio,0.13182
204,57,2026-06-30,761,1797.73,29028.43,120,0,34.09,medio,0.21034
205,58,2025-09-30,676,2766.41,2875.23,8.66,0,20.68,alto,0.23148
206,58,2025-12-31,680,2766.41,5196.67,15.65,0,36.52,medio,0.21879
207,58,2026-03-31,671,2766.41,14532.67,43.78,0,9.8,alto,0.24804
208,58,2026-06-30,679,2766.41,40066.44,120,0,0,alto,0.37191
209,59,2025-12-31,500,846.53,4493.17,44.23,0,47.39,alto,0.8808
210,59,2026-03-31,511,846.53,11835.78,116.51,0,53.48,alto,0.95
211,59,2026-06-30,509,846.53,14154.22,120,0,61.75,alto,0.95
212,60,2025-09-30,831,1906.48,19803.88,86.56,0,26.51,medio,0.1008
213,60,2025-12-31,840,1906.48,26889.64,117.54,0,9.11,medio,0.16011
214,60,2026-03-31,856,1906.48,21255.16,92.91,0,49.42,medio,0.1071
215,60,2026-06-30,842,1906.48,12076.17,52.79,0,38.21,bajo,0.03008
216,61,2025-09-30,771,1199.67,6001.15,41.69,0,37.83,bajo,0.05082
217,61,2025-12-31,739,1199.67,2055.5,14.28,0,71.38,medio,0.08743
218,61,2026-03-31,755,1199.67,15813.63,109.85,0,17.61,medio,0.19653
219,61,2026-06-30,731,1199.67,12829.14,89.12,0,0,medio,0.18798
220,62,2025-09-30,717,2824.02,34386.77,101.47,0,52.8,alto,0.23799
221,62,2025-12-31,733,2824.02,21587.16,63.7,0,34.03,medio,0.13393
222,62,2026-03-31,731,2824.02,40414.83,119.26,0,24.9,alto,0.24827
223,62,2026-06-30,703,2824.02,26469.41,78.11,0,38.83,alto,0.22187
224,63,2025-09-30,780,2431.53,42947.8,120,0,28.22,medio,0.19348
225,63,2025-12-31,741,2431.53,27406.98,93.93,0,31.13,medio,0.18243
226,63,2026-03-31,729,2431.53,8439.59,28.92,0,0,medio,0.10306
227,63,2026-06-30,765,2431.53,41574.11,120,0,70.19,medio,0.20635
228,64,2025-09-30,704,1401.31,15403.92,91.6,0,17.05,alto,0.24649
229,64,2025-12-31,718,1401.31,12763.22,75.9,0,1.57,medio,0.18488
230,64,2026-03-31,718,1401.31,17973.78,106.89,0,49.61,alto,0.24685
231,64,2026-06-30,710,1401.31,3206.38,19.07,0,59.17,medio,0.13965
232,65,2025-09-30,721,2598.17,21212.43,68.04,0,65.91,medio,0.16338
233,65,2025-12-31,742,2598.17,7589.73,24.34,0,43.83,medio,0.08317
234,65,2026-03-31,747,2598.17,15861.96,50.88,0,48.11,medio,0.08825
235,65,2026-06-30,714,2598.17,42398.52,120,0,48.53,alto,0.28114
236,66,2025-09-30,746,1249.97,668.5,4.46,0,18.65,bajo,0.07779
237,66,2025-12-31,745,1249.97,2059.34,13.73,0,61.71,bajo,0.07911
238,66,2026-03-31,700,1249.97,2688.16,17.92,0,40.54,medio,0.16296
239,66,2026-06-30,713,1249.97,14394.72,95.97,0,56.86,alto,0.23516
240,67,2025-09-30,614,3141.04,42004.84,111.44,1,21.3,alto,0.63971
241,67,2025-12-31,622,3141.04,27461.77,72.86,1,48.78,alto,0.52638
242,67,2026-03-31,624,3141.04,14521.75,38.53,1,73.16,alto,0.46171
243,67,2026-06-30,594,3141.04,36827.31,97.7,1,42.95,alto,0.70263
244,68,2025-09-30,674,2809.56,25562.49,75.82,0,17.48,alto,0.29965
245,68,2025-12-31,695,2809.56,24480.91,72.61,0,30.6,alto,0.23097
246,68,2026-03-31,709,2809.56,49625.26,120,0,39.82,alto,0.29185
247,68,2026-06-30,721,2809.56,5990.23,17.77,0,19.32,medio,0.11731
248,69,2025-09-30,855,3270.94,56078.36,120,0,49.22,medio,0.16149
249,69,2025-12-31,836,3270.94,4334.61,11.04,0,1.89,bajo,0.01616
250,69,2026-03-31,833,3270.94,24147.83,61.52,0,18.88,bajo,0.05009
251,69,2026-06-30,827,3270.94,52444.58,120,0,48.6,medio,0.16898
252,70,2025-09-30,751,2151.43,16418.78,63.6,0,25.71,medio,0.10871
253,70,2025-12-31,790,2151.43,10050.02,38.93,0,32.94,bajo,0.03652
254,70,2026-03-31,776,2151.43,22325.28,86.47,0,51.35,medio,0.12956
255,70,2026-06-30,771,2151.43,1791.37,6.94,0,58.5,bajo,0.05082
256,71,2025-09-30,681,1563.82,26024.17,120,0,8.51,alto,0.3657
257,71,2025-12-31,673,1563.82,4293.89,22.88,0,57.02,alto,0.24132
258,71,2026-03-31,674,1563.82,3752.1,19.99,0,26.66,alto,0.23801
259,71,2026-06-30,657,1563.82,23605.99,120,0,59.75,alto,0.44848
260,72,2026-06-30,720,3224.93,22066.85,57.02,0,2.62,medio,0.14325
261,73,2025-09-30,712,2008.08,30469.42,120,0,42.54,alto,0.28534
262,73,2025-12-31,690,2008.08,26576.19,110.29,0,31.87,alto,0.31988
263,73,2026-03-31,658,2008.08,27040.42,112.22,0,30.75,alto,0.42912
264,73,2026-06-30,719,2008.08,25837.82,107.22,0,34.88,alto,0.24557
265,74,2025-09-30,711,1848.2,4042.36,18.23,0,55.61,medio,0.13748
266,74,2025-12-31,700,1848.2,12198.67,55.0,0,101.14,medio,0.18297
267,74,2026-03-31,702,1848.2,21967.51,99.05,0,67.48,alto,0.26616
268,74,2026-06-30,719,1848.2,7406.9,33.4,0,35.35,medio,0.12113
269,75,2025-09-30,549,1417.47,3340.36,19.64,0,33.31,alto,0.75196
270,75,2025-12-31,546,1417.47,24267.58,120,0,43.82,alto,0.91199
271,75,2026-03-31,539,1417.47,5112.48,30.06,0,42.29,alto,0.7843
272,75,2026-06-30,556,1417.47,7067.35,41.55,0,20.36,alto,0.72747
273,76,2025-09-30,617,2505.71,8069.14,26.84,0,59.98,alto,0.46822
274,76,2025-12-31,636,2505.71,38982.66,120,0,52.07,alto,0.53397
275,76,2026-03-31,627,2505.71,28050.38,93.29,0,57.15,alto,0.51991
276,76,2026-06-30,619,2505.71,6675.88,22.2,0,44.2,alto,0.45918
277,77,2025-09-30,747,2086.74,27711.35,110.66,0,0,medio,0.20783
278,77,2025-12-31,744,2086.74,25119.74,100.31,0,48.09,medio,0.19107
279,77,2026-03-31,771,2086.74,7078.55,28.27,0,34.63,bajo,0.05082
280,77,2026-06-30,752,2086.74,6470.04,25.84,0,54.3,bajo,0.07032
281,78,2025-09-30,695,2430.53,45260.15,120,1,49.09,alto,0.35074
282,78,2025-12-31,695,2430.53,8136.59,27.9,1,43.7,medio,0.20074
283,78,2026-03-31,685,2430.53,32897.48,112.79,1,70.91,alto,0.36424
284,78,2026-06-30,654,2430.53,12383.65,42.46,1,56.09,alto,0.33503
285,79,2025-09-30,713,2750.69,6062.78,18.37,0,0,medio,0.13323
286,79,2025-12-31,690,2750.69,10906.66,33.04,0,31.37,medio,0.1893
287,79,2026-03-31,703,2750.69,7198.07,21.81,0,48.11,medio,0.15566
288,79,2026-06-30,672,2750.69,34976.89,105.96,0,35.99,alto,0.36659
289,80,2025-09-30,614,1815.43,9181.18,42.14,0,37.52,alto,0.48183
290,80,2025-12-31,686,1815.43,13454.09,61.76,0,45.97,alto,0.23423
291,80,2026-03-31,639,1815.43,20397.01,93.63,0,12.11,alto,0.46841
292,80,2026-06-30,663,1815.43,23062.27,105.86,0,7.92,alto,0.39787
293,81,2025-09-30,672,5030.31,13307.52,22.05,0,30.88,alto,0.24466
294,81,2025-12-31,681,5030.31,47745.68,79.1,0,32.34,alto,0.28389
295,81,2026-03-31,685,5030.31,49003.19,81.18,0,31.56,alto,0.27601
296,81,2026-06-30,687,5030.31,27112.91,44.92,0,22.91,medio,0.19782
297,82,2025-09-30,746,1301.94,7327.3,46.9,0,23.65,medio,0.08159
298,82,2025-12-31,769,1301.94,1199.91,7.68,0,0,bajo,0.0526
299,82,2026-03-31,716,1301.94,15337.37,98.17,0,60.33,alto,0.23339
300,82,2026-06-30,724,1301.94,10025.84,64.17,0,12.47,medio,0.15012
301,83,2026-06-30,765,3844.39,9026.91,19.57,0,42.04,bajo,0.05635
302,84,2025-09-30,661,2456.41,8097.46,27.47,0,64.63,alto,0.28348
303,84,2025-12-31,647,2456.41,12099.65,41.05,0,46.26,alto,0.33789
304,84,2026-03-31,667,2456.41,315.78,1.07,0,49.49,alto,0.26185
305,84,2026-06-30,643,2456.41,1867.53,6.34,0,17.33,alto,0.35434
306,85,2025-09-30,759,2784.52,8004.25,23.95,0,5.3,bajo,0.06244
307,85,2025-12-31,715,2784.52,42327.04,120,0,23.1,alto,0.27908
308,85,2026-03-31,797,2784.52,34383.53,102.9,0,64.78,medio,0.1481
309,85,2026-06-30,762,2784.52,48453.6,120,0,21.01,medio,0.20932
310,86,2025-09-30,754,2599.61,35910.47,115.11,1,50.8,alto,0.23321
311,86,2025-12-31,766,2599.61,42794.02,120,1,55.64,alto,0.23039
312,86,2026-03-31,762,2599.61,10192.13,32.67,1,37.6,medio,0.08432
313,86,2026-06-30,748,2599.61,5859.22,18.78,1,44.87,medio,0.10022
314,87,2025-09-30,733,2088.71,2534.02,10.11,0,43.88,medio,0.09653
315,87,2025-12-31,724,2088.71,26155.13,104.35,0,29.98,alto,0.23048
316,87,2026-03-31,789,2088.71,13847.12,55.25,0,51.09,bajo,0.05766
317,87,2026-06-30,729,2088.71,1577.65,6.29,0,0,medio,0.10306
318,88,2026-03-31,826,2036.14,7326.7,29.99,0,20.99,bajo,0.01932
319,88,2026-06-30,810,2036.14,14442.89,59.11,0,36.14,bajo,0.05389
320,89,2025-09-30,455,0,0,0,0,39.05,alto,0.94365
321,89,2025-12-31,479,0,0,0,0,61.79,alto,0.91543
322,89,2026-03-31,468,0,0,0,0,79.44,alto,0.92968
323,89,2026-06-30,503,0,0,0,0,47.64,alto,0.87495
324,90,2025-09-30,868,2357.07,7730.55,27.33,0,45.48,bajo,0.00909
325,90,2025-12-31,834,2357.07,1919.55,6.79,0,0,bajo,0.01675
326,90,2026-03-31,825,2357.07,42247.71,120,0,52.79,medio,0.16966
327,90,2026-06-30,858,2357.07,26848.73,94.92,0,16.81,medio,0.11073
328,91,2025-09-30,788,3126.96,9013.64,24.02,0,35.04,bajo,0.03782
329,91,2025-12-31,766,3126.96,51727.78,120,0,27.45,medio,0.20539
330,91,2026-03-31,743,3126.96,47880.51,120,0,17.36,alto,0.2318
331,91,2026-06-30,757,3126.96,13729.65,36.59,0,50.87,bajo,0.0646
332,92,2025-09-30,740,3350.1,40933.99,101.82,0,13.07,medio,0.19963
333,92,2025-12-31,700,3350.1,37764.47,93.94,0,27.47,alto,0.26084
334,92,2026-03-31,748,3350.1,15803.45,39.31,0,19.25,bajo,0.07522
335,92,2026-06-30,741,3350.1,34204.45,85.08,0,64.51,medio,0.16474
336,93,2025-09-30,800,2083.22,5386.11,21.55,0,36.86,bajo,0.03063
337,93,2025-12-31,820,2083.22,24718.38,98.88,0,17.05,medio,0.12925
338,93,2026-03-31,786,2083.22,33842.05,120,0,32.35,medio,0.18917
339,93,2026-06-30,764,2083.22,17619.98,70.48,0,0,medio,0.10829
340,94,2025-12-31,554,1517.43,3715.41,20.4,0,63.14,alto,0.73462
341,94,2026-03-31,527,1517.43,16932.09,92.99,0,81.77,alto,0.9149
