id_prestamo,id_solicitud,fecha_concesion,importe_concedido,tipo_interes,plazo_meses,cuota_mensual,saldo_pendiente,fecha_vencimiento,estado_prestamo
238,294,2024-11-10,191323.13,10.45,180,2108.62,182222.72,2039-11-11,mora
239,295,2023-09-28,126946.26,9.34,240,1169.92,120133.91,2043-09-28,activo
240,296,2026-03-09,203855.07,8.47,360,1562.72,203480.91,2056-03-09,activo
241,297,2024-12-07,85529.04,8.51,180,842.72,80743.44,2039-12-08,mora
242,298,2023-05-11,20623.25,10.41,12,1817.07,0,2024-05-10,pagado
243,299,2026-01-13,27750.47,10.78,60,600.38,25963.2,2031-01-13,activo
244,300,2025-03-25,9024.42,7.78,72,157.24,7474.31,2031-03-25,mora
245,302,2026-01-15,24921.84,9.89,84,412.3,23870.13,2033-01-14,mora
246,304,2023-12-07,26424.25,8.68,24,1203.33,0,2025-12-06,pagado
247,305,2024-03-02,8172.16,11.02,24,380.96,0.07,2026-03-02,pagado
248,306,2026-04-08,26989.84,9.32,36,862.24,25679.53,2029-04-07,activo
249,307,2024-10-30,43643.3,7.4,36,1355.56,20593.49,2027-10-30,activo
250,308,2023-09-13,26667.18,11.04,12,2357.45,0,2024-09-12,pagado
251,309,2024-06-05,228110.49,11.5,360,2258.72,226068.87,2054-06-06,mora
252,311,2023-06-17,36508.27,8.39,60,747.15,16451.27,2028-06-16,mora
253,312,2024-05-23,22158.31,10.25,24,1025.05,0.06,2026-05-23,pagado
254,313,2024-05-06,33182.42,8.79,60,685.41,20563.89,2029-05-06,activo
255,314,2025-08-10,29527.36,10.71,12,2605.66,5142.68,2026-08-10,activo
256,315,2026-02-13,6506.5,8.79,12,568.38,4400.62,2027-02-13,activo
257,316,2023-08-19,23802.03,10.56,12,2098.83,0,2024-08-18,pagado
258,319,2023-04-15,12399.41,9.44,24,568.96,0.27,2025-04-14,pagado
259,320,2023-06-13,8554.73,8.96,12,747.96,0.06,2024-06-12,pagado
260,322,2023-04-29,32384.91,10.29,36,1049.35,1.46,2026-04-28,mora
261,325,2025-11-15,87635.51,7.14,180,794.4,85690.28,2040-11-15,activo
262,326,2024-12-01,21330.96,9.66,36,684.91,10840.51,2027-12-01,mora
263,327,2026-01-07,8518.93,10.07,36,275.18,7483.23,2029-01-06,activo
264,329,2025-10-09,9361.95,10.52,24,434.24,6456.64,2027-10-09,activo
265,332,2024-05-16,7044.43,11.37,60,154.48,4582.6,2029-05-16,mora
266,334,2026-06-23,19068.61,7.47,48,460.78,19068.61,2030-06-23,activo
267,336,2026-03-10,11973.5,9.15,12,1047.94,9081.64,2027-03-10,activo
268,337,2025-08-21,43147.37,7.6,48,1045.27,35203.56,2029-08-21,activo
269,338,2026-06-23,19986.5,9.29,48,500.1,19986.5,2030-06-23,activo
270,339,2023-11-18,20611.97,8.78,36,653.34,3196.47,2026-11-17,activo
271,340,2023-10-25,23386.49,10.54,48,599.27,8906.36,2027-10-25,mora
272,342,2025-12-25,37272.81,11.96,48,980.73,33525.04,2029-12-25,activo
273,343,2026-05-12,22678.75,12.08,36,754.12,22152.93,2029-05-11,activo
274,345,2026-04-18,154780.63,9.48,360,1299.58,154626.4,2056-04-18,activo
275,347,2026-03-01,13378.42,11.97,60,297.41,12712.7,2031-03-01,mora
276,348,2026-02-04,11205.68,5.54,84,161.22,10764.69,2033-02-03,activo
277,349,2023-04-01,12033.81,6.28,60,234.19,4647.6,2028-03-31,activo
278,350,2024-10-09,13686.15,10.22,72,255.05,10680.38,2030-10-09,activo
279,353,2026-06-30,19804.55,9.48,36,634.23,19804.55,2029-06-29,activo
280,354,2026-05-27,18457.48,11.21,12,1633.14,16996.76,2027-05-27,activo
281,355,2026-04-27,14406.65,10.89,48,371.58,13922.79,2030-04-27,activo
282,356,2024-08-13,8852.92,10.25,72,165.13,6696.58,2030-08-13,activo
283,357,2025-01-10,28520.66,9.39,24,1308.08,8876.27,2027-01-10,activo
284,358,2024-09-11,20014.3,10.18,36,647.51,9083.55,2027-09-11,mora
285,361,2023-07-19,5423.37,10.32,60,116.1,2600.82,2028-07-18,mora
286,362,2024-08-09,31731.16,9.13,60,660.65,21237.26,2029-08-09,mora
287,363,2023-01-18,22003.57,11.2,36,722.41,1.89,2026-01-17,mora
288,364,2024-03-02,19372.58,10.83,12,1710.62,0.31,2025-03-02,pagado
289,366,2023-03-06,11550.68,7.87,60,233.46,4364.38,2028-03-05,mora
290,367,2023-05-11,40749.26,10.69,84,691.02,25992.81,2030-05-10,activo
291,368,2024-03-05,33281.58,9.33,60,696.27,19654.6,2029-03-05,activo
292,369,2023-08-30,14949.24,10.0,24,689.82,0.31,2025-08-29,pagado
293,372,2023-11-24,14883.19,9.53,36,476.96,2329.07,2026-11-23,mora
294,373,2024-08-19,21316.04,8.79,12,1862.08,0,2025-08-19,pagado
295,374,2026-02-06,8445.68,10.08,60,179.79,8004.78,2031-02-06,activo
296,375,2023-09-12,9799.31,9.83,48,247.72,3264.87,2027-09-12,activo
297,378,2026-05-28,13954.18,9.83,48,352.75,13715.74,2030-05-28,activo
298,381,2025-04-20,4155.69,10.96,60,90.27,3378.17,2030-04-20,mora
299,383,2026-01-09,5627.97,10.24,12,495.41,3815.39,2027-01-09,activo
300,384,2026-01-31,134869.05,8.59,240,1178.21,133789.85,2046-01-31,activo
301,385,2024-09-09,11355.58,9.72,60,239.7,7988.82,2029-09-09,mora
302,386,2024-02-10,44154.02,9.73,72,812.04,29377.61,2030-02-09,activo
303,387,2025-08-21,9896.98,8.24,60,201.82,8516.24,2030-08-21,activo
304,388,2025-10-22,9190.48,8.41,48,226.15,7864.37,2029-10-22,activo
305,389,2025-12-26,24293.25,11.34,84,420.28,23121.62,2032-12-25,activo
306,390,2026-05-13,12936.46,6.2,12,1114.56,11888.74,2027-05-13,activo
307,391,2026-04-20,25814.17,10.92,24,1202.23,23870.73,2028-04-19,activo
308,392,2026-05-20,22012.26,10.96,36,720.21,21493.1,2029-05-19,activo
309,393,2025-03-13,20413.86,9.69,12,1791.73,0.39,2026-03-13,pagado
310,395,2026-02-06,17129.9,9.51,60,359.82,16222.93,2031-02-06,activo
311,397,2025-09-02,13695.22,9.84,24,630.94,8871.4,2027-09-02,activo
312,398,2024-11-25,30574.76,9.3,84,496.51,25283.64,2031-11-25,activo
313,399,2025-04-18,28126.5,8.12,60,571.89,22543.12,2030-04-18,activo
314,402,2023-07-08,11320.32,9.78,36,364.09,0.7,2026-07-07,pagado
315,403,2026-06-02,27796.2,8.9,24,1268.56,27796.2,2028-06-01,activo
316,404,2024-02-16,14307.3,10.35,60,306.45,8538.01,2029-02-15,mora
317,405,2023-02-11,257269.57,10.25,360,2305.63,251988.04,2053-02-11,mora
318,406,2023-03-05,245947.57,8.63,240,2155.11,228115.67,2043-03-05,mora
319,407,2024-10-08,18230.03,8.75,48,451.52,11028.45,2028-10-08,mora
320,408,2025-02-28,44060.62,8.17,36,1384.13,25799.68,2028-02-28,activo
321,409,2024-11-15,24093.12,8.18,60,490.6,17496.65,2029-11-15,activo
322,410,2023-11-25,2026.01,9.23,24,92.77,0.04,2025-11-24,pagado
323,411,2023-09-11,20855.04,10.91,60,452.46,10437.68,2028-09-10,mora
324,412,2024-12-19,29340.63,10.2,48,746.93,19707.67,2028-12-19,mora
325,413,2023-09-09,11914.85,9.86,48,301.41,3969.71,2027-09-09,mora
326,414,2024-04-23,9982.01,9.56,36,320.04,3064.27,2027-04-23,activo
327,415,2026-01-31,14145.72,8.76,12,1235.47,8401.43,2027-01-31,activo
328,416,2025-04-07,30212.55,11.24,60,660.49,24593.42,2030-04-07,activo
329,417,2025-08-07,19385.75,10.01,24,894.68,11774.7,2027-08-07,activo
330,418,2023-11-19,9990.87,11.45,24,467.73,0.35,2025-11-18,pagado
331,419,2025-11-11,18747.23,8.71,12,1636.95,8009.54,2026-11-11,activo
332,420,2024-08-21,7826.68,7.54,60,157.0,5291.33,2029-08-21,activo
333,423,2023-11-02,42752.62,10.4,36,1387.6,5430.15,2026-11-01,mora
334,426,2025-03-07,20820.36,10.27,36,674.43,12349.91,2028-03-06,mora
335,427,2026-06-30,23449.91,9.27,24,1074.18,23449.91,2028-06-29,activo
336,428,2024-01-07,16613.73,7.94,60,336.36,9126.92,2029-01-06,mora
337,429,2024-02-21,5354.65,8.62,48,132.29,2456.17,2028-02-21,activo
