id_solicitud,id_cliente,fecha_solicitud,tipo_credito,importe_solicitado,plazo_meses,finalidad,score_solicitud,ratio_endeudamiento,estado_solicitud,motivo_rechazo
157,224,2024-02-29,personal,5075.92,24,liquidez,803,18.3,aprobada,\N
158,224,2024-09-19,hipotecario,121515.75,180,vehiculo,749,38.69,aprobada,\N
159,227,2025-02-25,vehiculo,29466.87,60,liquidez,461,33.72,rechazada,score_crediticio_bajo
160,229,2024-08-21,personal,25047.52,24,vivienda,667,53.15,aprobada,\N
161,230,2024-06-21,vehiculo,35591.44,72,liquidez,705,15.86,rechazada,ingresos_insuficientes
162,230,2023-12-02,personal,28589.61,12,consumo,689,30.59,rechazada,ingresos_insuficientes
163,231,2023-10-19,personal,25485.74,60,vehiculo,689,38.37,aprobada,\N
164,237,2023-08-15,hipotecario,131595.92,180,vehiculo,634,37.28,rechazada,ingresos_insuficientes
165,238,2025-09-03,personal,8274.47,60,liquidez,796,38.03,aprobada,\N
166,239,2025-05-01,personal,23471.15,48,reforma,767,6.15,aprobada,\N
167,239,2024-03-19,hipotecario,290116.09,300,liquidez,760,68.48,rechazada,endeudamiento_elevado
168,240,2023-07-13,vehiculo,21630.06,84,vivienda,603,27.38,rechazada,score_crediticio_bajo
169,241,2023-06-02,vehiculo,13358.31,48,consumo,732,36.18,aprobada,\N
170,243,2023-07-08,hipotecario,195340.66,180,liquidez,659,63.46,rechazada,endeudamiento_elevado
171,243,2023-10-04,personal,12370.41,12,liquidez,699,23.14,rechazada,ingresos_insuficientes
172,244,2025-08-15,hipotecario,84775.94,180,vivienda,737,4.74,aprobada,\N
173,245,2024-09-27,personal,11178.43,24,liquidez,752,33.1,aprobada,\N
174,249,2023-01-30,personal,26442.06,48,vivienda,748,26.92,aprobada,\N
175,250,2025-04-03,hipotecario,294564.14,240,liquidez,733,62.86,rechazada,endeudamiento_elevado
176,251,2024-08-06,hipotecario,83421.24,300,vehiculo,688,38.55,rechazada,criterios_riesgo
177,253,2026-04-04,vehiculo,20441.94,60,vehiculo,831,4.85,aprobada,\N
178,255,2026-04-11,personal,23308.88,24,consumo,777,31.79,aprobada,\N
179,255,2026-03-17,hipotecario,197544.21,300,liquidez,796,36.13,aprobada,\N
180,259,2024-02-23,personal,16579.43,48,vehiculo,730,33.37,aprobada,\N
181,259,2024-08-06,vehiculo,26771.32,72,vehiculo,705,22.95,aprobada,\N
182,262,2023-09-27,hipotecario,282943.62,180,consumo,648,37.93,aprobada,\N
183,265,2024-05-04,personal,22394.91,36,liquidez,732,37.34,aprobada,\N
184,266,2023-12-26,vehiculo,23660.64,48,reforma,686,1.68,aprobada,\N
185,267,2025-03-21,personal,13223.92,24,consumo,659,17.42,aprobada,\N
186,269,2024-10-11,personal,17896.41,60,vehiculo,809,10.06,aprobada,\N
187,269,2024-08-26,personal,20805.38,60,consumo,752,38.95,aprobada,\N
188,270,2026-06-21,vehiculo,11551.89,72,reforma,787,15.04,aprobada,\N
189,271,2026-06-24,personal,14275.26,36,consumo,631,35.04,aprobada,\N
190,272,2023-06-06,vehiculo,15715.26,84,vehiculo,720,6.17,aprobada,\N
191,273,2023-01-19,personal,6951.51,12,vivienda,642,25.73,aprobada,\N
192,275,2025-05-09,personal,4504.26,12,consumo,584,25.1,rechazada,score_crediticio_bajo
193,279,2026-05-07,hipotecario,248400.77,300,consumo,655,68.68,rechazada,endeudamiento_elevado
194,279,2026-05-28,vehiculo,9621.66,36,consumo,708,34.84,aprobada,\N
195,279,2026-02-13,hipotecario,86589.75,240,consumo,708,22.74,aprobada,\N
196,281,2024-02-02,personal,15092.49,48,consumo,658,56.69,rechazada,endeudamiento_elevado
197,281,2026-03-13,vehiculo,19800.88,60,reforma,718,35.62,aprobada,\N
198,282,2023-09-25,personal,6150.11,60,vehiculo,702,41.86,aprobada,\N
199,283,2023-08-27,personal,2020.33,48,consumo,697,34.85,aprobada,\N
200,283,2023-10-12,hipotecario,119526.73,300,liquidez,658,38.5,rechazada,criterios_riesgo
201,285,2025-06-14,personal,11435.07,12,vehiculo,711,30.28,aprobada,\N
202,286,2025-02-16,vehiculo,32098.08,84,vivienda,730,34.01,aprobada,\N
203,287,2024-07-25,personal,2809.99,24,vivienda,624,30.92,aprobada,\N
204,288,2025-02-03,personal,8284.21,36,vivienda,736,52.47,aprobada,\N
205,291,2024-08-25,personal,7233.76,48,reforma,851,28.02,aprobada,\N
206,293,2026-03-18,vehiculo,25027.5,36,vehiculo,740,22.97,aprobada,\N
207,293,2024-08-26,vehiculo,17474.53,72,vivienda,706,17.1,aprobada,\N
208,296,2023-08-18,vehiculo,9072.64,84,reforma,814,14.06,aprobada,\N
209,297,2024-07-15,personal,17889.68,36,reforma,756,10.0,aprobada,\N
210,298,2026-02-27,vehiculo,33715.52,48,vivienda,713,21.78,aprobada,\N
211,298,2026-03-07,personal,15901.38,36,reforma,586,49.23,rechazada,score_crediticio_bajo
212,300,2024-04-15,personal,20147.61,12,vehiculo,708,33.11,aprobada,\N
213,302,2025-12-02,personal,6770.82,36,consumo,693,26.01,aprobada,\N
214,305,2026-04-17,hipotecario,271216.52,240,vivienda,667,33.39,aprobada,\N
215,307,2023-05-28,vehiculo,31991.22,36,consumo,750,20.75,aprobada,\N
216,308,2026-03-23,personal,18755.95,60,consumo,797,10.31,aprobada,\N
217,309,2024-01-05,personal,26283.37,60,reforma,591,59.94,rechazada,score_crediticio_bajo
218,310,2024-07-28,personal,15815.92,36,vehiculo,768,23.43,aprobada,\N
219,313,2026-05-14,vehiculo,22914.17,84,consumo,836,5.78,aprobada,\N
220,316,2025-06-11,vehiculo,22431.41,48,reforma,724,38.65,aprobada,\N
221,318,2023-02-23,personal,20609.9,48,consumo,712,28.69,aprobada,\N
222,320,2025-08-29,hipotecario,124710.79,180,liquidez,660,33.77,rechazada,criterios_riesgo
223,321,2025-01-09,vehiculo,44755.04,60,vehiculo,688,36.0,aprobada,\N
224,325,2025-11-02,personal,19955.63,48,reforma,671,21.4,aprobada,\N
225,326,2025-07-12,personal,2876.85,60,vivienda,620,31.48,aprobada,\N
226,326,2023-07-24,personal,21353.2,36,vehiculo,679,36.75,aprobada,\N
227,328,2024-03-20,vehiculo,35158.88,84,consumo,778,31.14,aprobada,\N
228,329,2026-06-27,personal,16378.68,24,reforma,738,14.01,aprobada,\N
229,330,2026-05-05,vehiculo,14691.89,72,vehiculo,672,30.6,aprobada,\N
230,331,2023-04-26,vehiculo,9960.96,36,vehiculo,822,39.23,aprobada,\N
231,331,2024-06-06,hipotecario,251052.02,180,liquidez,758,59.65,rechazada,endeudamiento_elevado
232,334,2025-04-01,personal,3630.51,48,liquidez,701,34.4,aprobada,\N
233,335,2024-12-10,hipotecario,111755.85,180,vivienda,770,22.77,rechazada,criterios_riesgo
234,336,2023-10-26,vehiculo,26830.18,84,consumo,752,21.76,aprobada,\N
235,336,2025-05-23,vehiculo,25451.12,84,reforma,685,44.27,aprobada,\N
236,337,2025-06-26,vehiculo,13733.95,60,vehiculo,811,22.18,aprobada,\N
237,338,2024-02-19,hipotecario,252465.85,180,reforma,678,31.21,aprobada,\N
238,338,2023-01-26,personal,4334.62,36,liquidez,664,24.47,aprobada,\N
239,341,2024-12-13,personal,10813.06,48,vivienda,856,23.96,aprobada,\N
240,341,2024-05-25,personal,9564.7,60,liquidez,788,33.19,aprobada,\N
241,342,2023-01-24,vehiculo,34108.35,60,reforma,669,42.53,aprobada,\N
242,343,2023-11-29,personal,24796.83,60,vivienda,629,48.01,rechazada,ingresos_insuficientes
243,344,2024-12-22,hipotecario,242388.2,240,consumo,514,95,rechazada,score_crediticio_bajo
244,347,2025-08-04,personal,6235.22,12,vehiculo,566,31.36,rechazada,score_crediticio_bajo
245,347,2023-06-07,personal,19153.68,12,consumo,554,40.34,rechazada,score_crediticio_bajo
246,349,2023-05-27,personal,29085.08,24,consumo,657,49.15,aprobada,\N
247,349,2024-12-17,personal,21037.24,24,consumo,673,40.98,aprobada,\N
248,350,2026-05-19,personal,28645.68,60,reforma,767,25.54,aprobada,\N
249,350,2026-06-04,personal,2972.97,60,vehiculo,718,22.29,aprobada,\N
250,351,2023-03-06,personal,5021.61,48,reforma,599,48.56,rechazada,score_crediticio_bajo
251,351,2024-08-01,personal,10047.54,24,vivienda,716,1.75,aprobada,\N
252,355,2026-03-16,personal,25738.51,24,liquidez,724,22.83,aprobada,\N
253,357,2026-06-27,vehiculo,22435.1,84,liquidez,665,7.56,aprobada,\N
254,357,2026-03-25,personal,26693.82,48,consumo,708,21.49,aprobada,\N
255,358,2024-09-10,personal,17579.42,24,consumo,651,27.63,rechazada,ingresos_insuficientes
256,359,2025-06-16,personal,26802.61,60,liquidez,727,19.37,aprobada,\N
257,359,2025-12-16,vehiculo,44571.85,84,vehiculo,716,6.48,aprobada,\N
258,360,2026-01-23,personal,11017.26,36,reforma,629,9.63,aprobada,\N
259,362,2026-04-08,personal,17524.57,36,consumo,670,46.21,aprobada,\N
260,365,2026-01-29,vehiculo,24146.85,72,reforma,780,16.04,aprobada,\N
261,366,2026-03-23,personal,2296.83,36,liquidez,601,45.94,rechazada,score_crediticio_bajo
262,366,2025-03-16,vehiculo,42446.38,48,liquidez,632,12.16,aprobada,\N
263,369,2026-04-30,hipotecario,93453.84,180,reforma,752,57.34,rechazada,endeudamiento_elevado
264,370,2025-11-26,personal,26362.66,24,reforma,761,0.64,aprobada,\N
265,371,2024-12-10,personal,22996.41,12,liquidez,710,36.34,aprobada,\N
266,371,2023-10-19,vehiculo,25512.0,84,reforma,683,42.25,aprobada,\N
267,371,2026-01-25,personal,4947.98,36,reforma,670,35.34,aprobada,\N
268,374,2024-07-27,personal,17638.04,60,reforma,618,49.37,aprobada,\N
269,376,2025-07-14,personal,16984.02,60,liquidez,803,30.64,aprobada,\N
270,377,2025-06-19,personal,16460.99,48,vehiculo,834,33.69,aprobada,\N
271,377,2023-02-20,vehiculo,44150.2,72,liquidez,764,45.31,aprobada,\N
272,378,2024-02-05,personal,6410.42,36,reforma,594,22.21,rechazada,score_crediticio_bajo
273,379,2024-11-04,personal,3373.93,24,consumo,746,13.63,aprobada,\N
274,380,2025-04-07,personal,22895.71,60,reforma,606,20.15,rechazada,score_crediticio_bajo
275,385,2025-03-05,hipotecario,195099.53,300,vivienda,566,51.23,rechazada,score_crediticio_bajo
276,385,2025-02-03,personal,8259.23,36,liquidez,564,21.29,rechazada,score_crediticio_bajo
277,386,2023-03-30,personal,15456.96,24,vehiculo,686,22.97,aprobada,\N
278,386,2024-02-25,vehiculo,32198.83,60,reforma,603,25.26,rechazada,score_crediticio_bajo
279,387,2024-06-18,vehiculo,13066.63,48,vivienda,654,0,aprobada,\N
280,388,2025-12-09,personal,10785.67,12,reforma,732,38.04,aprobada,\N
281,389,2026-06-10,hipotecario,260013.39,240,vehiculo,683,22.66,aprobada,\N
282,390,2026-02-10,vehiculo,22282.67,48,consumo,623,45.6,aprobada,\N
283,394,2024-01-26,personal,18340.1,48,liquidez,769,46.52,aprobada,\N
284,394,2026-02-01,personal,9519.69,48,vivienda,783,34.48,aprobada,\N
285,396,2025-02-12,vehiculo,17424.94,48,vivienda,684,16.02,aprobada,\N
286,396,2024-08-06,personal,7596.57,24,reforma,723,28.35,aprobada,\N
287,398,2024-08-04,vehiculo,41775.14,48,consumo,767,35.51,aprobada,\N
288,400,2024-08-09,personal,5001.09,12,vehiculo,729,18.34,aprobada,\N
289,401,2025-11-10,hipotecario,107396.54,240,liquidez,783,36.14,aprobada,\N
290,402,2026-06-24,hipotecario,94836.56,360,reforma,727,25.11,aprobada,\N
291,403,2026-05-09,hipotecario,279640.86,180,reforma,720,42.27,aprobada,\N
292,406,2024-02-05,personal,6282.89,48,reforma,775,39.86,aprobada,\N
293,409,2024-03-14,personal,24772.2,12,consumo,696,35.62,rechazada,ingresos_insuficientes
294,410,2024-10-30,hipotecario,191323.13,180,vehiculo,667,31.53,aprobada,\N
295,410,2023-09-27,hipotecario,126946.26,240,vivienda,728,33.68,aprobada,\N
296,411,2026-02-25,hipotecario,203855.07,360,reforma,789,42.23,aprobada,\N
297,411,2024-11-27,hipotecario,85529.04,180,liquidez,792,37.54,aprobada,\N
298,415,2023-05-05,personal,20623.25,12,consumo,674,0,aprobada,\N
299,417,2026-01-09,personal,27750.47,60,liquidez,693,23.29,aprobada,\N
300,418,2025-03-23,vehiculo,9024.42,72,vehiculo,779,10.85,aprobada,\N
301,419,2025-10-05,hipotecario,261591.58,360,vivienda,737,31.45,rechazada,criterios_riesgo
302,421,2026-01-12,vehiculo,24921.84,84,vehiculo,743,17.68,aprobada,\N
303,422,2023-04-25,personal,21018.44,12,liquidez,606,45.99,rechazada,score_crediticio_bajo
304,423,2023-11-26,personal,26424.25,24,liquidez,748,42.29,aprobada,\N
305,424,2024-02-21,personal,8172.16,24,liquidez,682,29.42,aprobada,\N
306,425,2026-03-31,personal,26989.84,36,vivienda,725,45.4,aprobada,\N
307,425,2024-10-21,vehiculo,43643.3,36,reforma,798,11.6,aprobada,\N
308,428,2023-09-02,personal,26667.18,12,vivienda,647,29.0,aprobada,\N
309,428,2024-06-03,hipotecario,228110.49,360,liquidez,637,39.95,aprobada,\N
310,429,2023-10-18,personal,20762.73,24,vivienda,796,60.0,rechazada,endeudamiento_elevado
311,431,2023-06-15,vehiculo,36508.27,60,consumo,775,43.72,aprobada,\N
312,433,2024-05-12,personal,22158.31,24,vivienda,690,32.49,aprobada,\N
313,435,2024-05-03,vehiculo,33182.42,60,vehiculo,783,17.36,aprobada,\N
314,436,2025-08-08,personal,29527.36,12,vivienda,648,20.76,aprobada,\N
315,437,2026-02-12,personal,6506.5,12,liquidez,713,36.68,aprobada,\N
316,438,2023-08-11,personal,23802.03,12,vehiculo,700,30.3,aprobada,\N
317,440,2025-08-15,personal,23313.88,60,reforma,540,69.38,rechazada,score_crediticio_bajo
318,440,2026-05-13,personal,15553.45,24,consumo,643,29.45,rechazada,ingresos_insuficientes
319,445,2023-04-05,personal,12399.41,24,consumo,769,20.55,aprobada,\N
320,445,2023-06-09,personal,8554.73,12,vehiculo,798,0.76,aprobada,\N
321,448,2024-12-10,personal,25512.72,48,vehiculo,517,51.44,rechazada,score_crediticio_bajo
322,450,2023-04-23,vehiculo,32384.91,36,vehiculo,644,43.42,aprobada,\N
323,451,2024-05-03,personal,9026.72,48,consumo,625,31.52,rechazada,ingresos_insuficientes
324,451,2024-02-26,personal,25960.32,24,consumo,601,3.4,rechazada,score_crediticio_bajo
325,452,2025-11-11,hipotecario,87635.51,180,vehiculo,840,30.85,aprobada,\N
326,454,2024-11-23,personal,21330.96,36,consumo,681,16.44,aprobada,\N
