id_cliente,fecha_alta,fecha_nacimiento,genero,estado_civil,nivel_estudios,situacion_laboral,antiguedad_laboral_anios,ingresos_mensuales,num_dependientes,tipo_vivienda,provincia,estado_cliente
25,2012-11-04,1976-11-07,hombre,soltero,posgrado,empleado,4.2,2822.79,0,propia,Vizcaya,activo
26,2026-03-13,2007-09-30,hombre,divorciado,secundaria,jubilado,\N,2580.56,0,hipotecada,Zaragoza,inactivo
27,2016-06-21,1984-08-24,mujer,casado,formacion_profesional,empleado,2.7,3034.41,0,propia,Zaragoza,activo
28,2024-05-19,1998-04-28,hombre,divorciado,universitario,estudiante,0,289.04,1,propia,Alicante,activo
29,2021-05-15,1996-08-19,mujer,divorciado,formacion_profesional,empleado,0,3007.11,0,alquiler,Sevilla,activo
30,2026-06-24,2008-04-05,mujer,divorciado,bachillerato,empleado,0,2261.21,0,propia,Madrid,activo
31,2024-01-23,1944-08-22,hombre,viudo,bachillerato,autonomo,12.9,1866.01,1,hipotecada,Madrid,activo
32,2022-06-17,1962-05-07,hombre,viudo,universitario,empleado,0.8,2227.28,0,familiar,A Coruña,activo
33,2024-08-08,1992-11-16,hombre,viudo,formacion_profesional,desempleado,3.1,1538.52,3,hipotecada,Málaga,activo
34,2021-08-15,1992-10-07,hombre,casado,formacion_profesional,empleado,6.1,1876.06,0,propia,Sevilla,activo
35,2014-04-22,1973-05-29,mujer,viudo,formacion_profesional,empleado,8.4,2307.13,3,familiar,Málaga,activo
36,2024-02-22,1968-12-13,mujer,viudo,bachillerato,estudiante,0,873.19,2,alquiler,Madrid,activo
37,2019-09-15,1997-12-13,mujer,soltero,secundaria,autonomo,10,7486.93,4,alquiler,Murcia,activo
38,2026-03-31,2008-03-29,hombre,soltero,formacion_profesional,empleado,0,1789.72,0,hipotecada,Madrid,inactivo
39,2010-01-11,1959-01-03,hombre,casado,formacion_profesional,autonomo,8.4,5784.77,0,propia,Sevilla,activo
40,2026-04-28,2007-11-05,hombre,soltero,posgrado,empleado,0,1771.09,2,alquiler,Alicante,activo
41,2022-12-18,1988-12-09,mujer,soltero,formacion_profesional,empleado,7.3,3135.59,0,alquiler,Zaragoza,activo
42,2016-05-07,1962-05-26,hombre,casado,formacion_profesional,autonomo,1.6,1221.84,0,hipotecada,Málaga,activo
43,2023-02-16,1982-08-20,hombre,casado,universitario,jubilado,\N,1836.22,2,propia,Murcia,activo
44,2025-07-23,1999-02-27,mujer,divorciado,bachillerato,empleado,9,2470.15,0,hipotecada,Málaga,activo
45,2005-03-25,1978-09-20,mujer,viudo,universitario,empleado,1.7,1687.05,0,propia,Sevilla,activo
46,2020-07-08,1973-12-05,hombre,viudo,bachillerato,empleado,2.7,2606.1,4,propia,Barcelona,activo
47,2013-04-16,1988-03-24,mujer,divorciado,posgrado,empleado,8.4,2427.28,1,hipotecada,Málaga,activo
48,2013-02-04,1975-03-07,mujer,viudo,formacion_profesional,empleado,14.1,2468.02,1,alquiler,Madrid,activo
49,2026-02-09,1963-02-22,mujer,casado,bachillerato,estudiante,0,747.0,1,alquiler,Málaga,activo
50,2010-07-27,1980-05-18,hombre,viudo,formacion_profesional,empleado,7.9,3408.77,1,hipotecada,A Coruña,activo
51,2016-01-03,1993-05-11,mujer,viudo,formacion_profesional,empleado,7.4,1861.67,0,propia,Málaga,activo
52,2024-04-12,1965-07-06,mujer,divorciado,universitario,empleado,0.8,3628.78,0,propia,Valencia,activo
53,2026-06-21,2008-01-25,mujer,viudo,formacion_profesional,autonomo,0,2959.57,1,hipotecada,Alicante,inactivo
54,2018-07-17,1968-01-17,hombre,casado,formacion_profesional,empleado,25.8,3684.08,1,hipotecada,Málaga,activo
55,2024-10-17,2000-03-30,mujer,viudo,universitario,empleado,6.0,2128.49,0,alquiler,Murcia,activo
56,2012-01-21,1978-05-16,hombre,divorciado,universitario,empleado,0.1,2143.09,1,familiar,Murcia,activo
57,2015-11-15,1985-07-08,mujer,viudo,posgrado,empleado,1.0,1797.73,0,hipotecada,Valencia,bloqueado
58,2022-11-09,1988-10-18,hombre,casado,posgrado,empleado,1.4,2766.41,0,propia,Alicante,activo
59,2025-12-15,1982-01-07,mujer,viudo,posgrado,desempleado,1.6,846.53,2,alquiler,Murcia,activo
60,2019-03-08,1992-09-25,hombre,viudo,secundaria,empleado,12.2,1906.48,1,hipotecada,Alicante,activo
61,2018-04-12,1998-08-02,mujer,viudo,secundaria,empleado,9,1199.67,1,familiar,Madrid,activo
62,2008-06-18,1985-07-30,hombre,divorciado,universitario,empleado,1.9,2824.02,1,hipotecada,Alicante,activo
63,2024-07-26,1964-10-24,hombre,soltero,formacion_profesional,empleado,5.0,2431.53,1,propia,Barcelona,activo
64,2022-09-14,2004-06-16,hombre,casado,bachillerato,empleado,4,1401.31,0,propia,Alicante,activo
65,2011-11-17,1990-09-06,hombre,divorciado,universitario,empleado,4.5,2598.17,1,propia,Murcia,activo
66,2019-05-02,1944-01-29,hombre,viudo,universitario,jubilado,\N,1249.97,1,propia,Alicante,activo
67,2020-10-24,1999-07-08,mujer,soltero,posgrado,empleado,4.1,3141.04,0,hipotecada,Málaga,activo
68,2009-11-30,1982-01-01,mujer,soltero,posgrado,empleado,3.4,2809.56,2,hipotecada,Málaga,activo
69,2021-06-05,1982-12-27,mujer,divorciado,universitario,empleado,5.7,3270.94,0,familiar,Valencia,activo
70,2023-02-02,1984-10-27,mujer,viudo,posgrado,empleado,16.3,2151.43,2,hipotecada,Zaragoza,activo
71,2017-01-13,1972-02-16,mujer,divorciado,secundaria,empleado,9.7,1563.82,0,propia,Madrid,activo
72,2026-06-15,2008-01-15,mujer,divorciado,posgrado,empleado,0,3224.93,0,propia,Sevilla,activo
73,2013-04-28,1977-11-10,hombre,viudo,universitario,autonomo,5.9,2008.08,0,familiar,Málaga,activo
74,2014-12-22,1969-11-15,mujer,divorciado,secundaria,jubilado,\N,1848.2,2,propia,Barcelona,activo
75,2019-11-13,1959-05-16,hombre,casado,universitario,empleado,4.1,1417.47,4,hipotecada,Sevilla,activo
76,2005-01-24,1986-08-30,hombre,divorciado,universitario,empleado,9.5,2505.71,0,propia,Zaragoza,activo
77,2021-08-21,1973-04-27,hombre,soltero,universitario,empleado,7.4,2086.74,1,familiar,Vizcaya,activo
78,2009-10-21,1990-06-15,hombre,viudo,secundaria,jubilado,\N,2430.53,2,propia,A Coruña,activo
79,2019-03-15,1978-08-16,mujer,viudo,secundaria,empleado,9.1,2750.69,1,hipotecada,Vizcaya,activo
80,2024-12-02,1984-11-11,hombre,divorciado,formacion_profesional,empleado,3.6,1815.43,0,propia,Murcia,activo
81,2014-09-08,1959-05-15,mujer,divorciado,universitario,empleado,10.9,5030.31,1,alquiler,Alicante,activo
82,2018-06-20,1968-02-04,mujer,divorciado,universitario,empleado,1.1,1301.94,0,alquiler,Málaga,activo
83,2026-06-05,2005-09-16,mujer,divorciado,secundaria,autonomo,2,3844.39,1,propia,Málaga,activo
84,2024-07-05,1972-03-30,hombre,casado,formacion_profesional,empleado,4.8,2456.41,2,alquiler,Valencia,inactivo
85,2023-05-18,1998-09-14,hombre,viudo,formacion_profesional,empleado,9,2784.52,0,propia,Vizcaya,activo
86,2020-03-18,1972-02-06,mujer,soltero,bachillerato,autonomo,12.2,2599.61,0,familiar,Valencia,activo
87,2005-03-05,1982-04-30,mujer,divorciado,secundaria,empleado,2.9,2088.71,1,hipotecada,Madrid,activo
88,2026-01-16,1998-05-22,hombre,divorciado,bachillerato,empleado,9.2,2036.14,1,familiar,Murcia,activo
89,2014-10-18,1968-05-16,hombre,divorciado,bachillerato,desempleado,1.6,0,1,hipotecada,Barcelona,activo
90,2019-03-16,1964-10-12,hombre,casado,bachillerato,empleado,2.3,2357.07,2,propia,Valencia,activo
91,2006-09-10,1964-07-30,mujer,divorciado,posgrado,empleado,7.2,3126.96,0,hipotecada,Valencia,activo
92,2025-01-21,2006-11-18,hombre,divorciado,universitario,empleado,1,3350.1,0,propia,Barcelona,activo
93,2021-12-12,1990-08-21,mujer,divorciado,universitario,empleado,9.8,2083.22,0,alquiler,Madrid,activo
94,2025-12-04,2007-11-13,hombre,viudo,posgrado,desempleado,0,1517.43,0,alquiler,A Coruña,activo
95,2013-09-09,1976-02-07,hombre,soltero,universitario,empleado,11.1,1692.86,2,alquiler,Málaga,activo
96,2024-08-02,1986-08-27,hombre,soltero,formacion_profesional,empleado,0,3261.95,1,alquiler,Zaragoza,activo
97,2025-06-19,1974-07-16,hombre,casado,formacion_profesional,empleado,0.1,2594.92,0,hipotecada,Sevilla,activo
98,2011-08-21,1982-05-22,hombre,divorciado,posgrado,desempleado,4.3,1092.17,2,hipotecada,A Coruña,activo
99,2008-06-17,1968-12-20,hombre,divorciado,universitario,empleado,2.2,2800.76,1,hipotecada,Sevilla,activo
100,2010-05-14,1977-09-30,hombre,divorciado,universitario,empleado,9.4,3213.5,3,alquiler,Alicante,inactivo
101,2017-09-26,1995-04-10,mujer,soltero,universitario,desempleado,2.7,1070.21,1,alquiler,Barcelona,activo
102,2017-03-06,1989-02-11,mujer,casado,universitario,estudiante,0,1229.65,0,hipotecada,Madrid,activo
103,2019-04-01,1995-12-22,mujer,divorciado,universitario,empleado,9.6,1547.64,0,propia,Málaga,activo
104,2022-01-08,1970-04-20,mujer,viudo,secundaria,autonomo,4.6,2571.53,0,alquiler,Málaga,activo
105,2022-10-22,1975-08-08,mujer,divorciado,formacion_profesional,empleado,9.6,2199.47,1,hipotecada,Sevilla,activo
106,2011-06-20,1991-07-24,mujer,soltero,universitario,empleado,5.6,2516.83,1,familiar,Málaga,activo
107,2012-09-25,1984-05-27,hombre,divorciado,universitario,empleado,2.3,2466.3,1,hipotecada,Valencia,activo
108,2015-09-26,1972-07-09,hombre,soltero,formacion_profesional,empleado,0.4,3066.25,0,alquiler,Alicante,activo
109,2005-10-27,1966-02-21,hombre,soltero,universitario,autonomo,7.5,1716.0,2,alquiler,Alicante,activo
110,2012-08-09,1984-12-15,mujer,divorciado,universitario,jubilado,\N,700,1,hipotecada,Barcelona,activo
111,2026-06-03,2008-03-30,mujer,casado,universitario,empleado,0,1496.29,0,alquiler,Madrid,activo
112,2015-05-19,1987-08-21,mujer,soltero,bachillerato,empleado,0,1024.5,0,hipotecada,Murcia,activo
113,2013-03-20,1977-08-04,hombre,casado,universitario,empleado,7.4,1458.99,0,alquiler,Málaga,activo
114,2016-03-12,1983-03-28,mujer,viudo,bachillerato,empleado,9.5,4031.37,0,propia,Barcelona,activo
115,2025-12-03,2007-11-16,mujer,divorciado,posgrado,desempleado,7.3,1135.78,1,hipotecada,Valencia,activo
116,2021-05-21,1991-12-28,hombre,soltero,secundaria,empleado,2.8,1567.17,0,alquiler,Murcia,inactivo
117,2014-03-20,1969-10-04,hombre,casado,formacion_profesional,autonomo,1.1,2329.6,2,familiar,Madrid,activo
118,2016-08-15,1960-04-28,mujer,divorciado,bachillerato,empleado,5.8,1593.14,3,familiar,Málaga,activo
119,2021-02-05,1996-04-27,mujer,divorciado,universitario,empleado,1.5,1051.48,0,alquiler,Madrid,activo
120,2013-05-22,1994-05-20,mujer,soltero,formacion_profesional,jubilado,\N,1801.64,0,hipotecada,Málaga,activo
121,2018-05-11,1993-08-06,hombre,casado,formacion_profesional,empleado,6.4,4132.98,0,propia,Zaragoza,activo
122,2013-12-11,1978-01-05,hombre,divorciado,posgrado,empleado,4.6,1814.71,0,hipotecada,Alicante,activo
123,2024-05-29,1969-02-23,hombre,viudo,formacion_profesional,estudiante,0,966.7,2,alquiler,Madrid,activo
124,2026-06-05,2008-05-15,mujer,soltero,formacion_profesional,empleado,0,1988.65,1,hipotecada,Zaragoza,activo
125,2013-03-17,1982-12-07,mujer,soltero,bachillerato,empleado,4.3,1128.28,0,propia,Zaragoza,activo
126,2017-07-06,1975-01-09,hombre,casado,universitario,jubilado,\N,1760.39,1,hipotecada,Vizcaya,activo
127,2014-03-09,1992-11-09,hombre,divorciado,formacion_profesional,empleado,4.7,2233.34,4,alquiler,Murcia,activo
128,2019-02-12,1988-07-03,mujer,soltero,universitario,empleado,0.6,3047.53,1,propia,A Coruña,activo
129,2025-12-29,2007-09-09,mujer,soltero,universitario,autonomo,0,2969.1,2,hipotecada,Sevilla,activo
130,2021-05-27,1998-06-21,mujer,soltero,universitario,empleado,0,1055.76,3,alquiler,Vizcaya,activo
131,2019-11-08,1971-01-16,mujer,divorciado,universitario,empleado,0,2079.52,2,propia,Sevilla,activo
132,2020-08-10,1990-02-08,mujer,divorciado,formacion_profesional,empleado,4.9,4004.85,0,alquiler,Vizcaya,activo
133,2021-05-18,1998-12-19,mujer,divorciado,posgrado,desempleado,0.5,1630.34,0,hipotecada,Murcia,activo
134,2025-12-05,1978-02-12,hombre,casado,universitario,empleado,16.1,1861.39,2,propia,Alicante,activo
135,2025-10-26,1990-07-18,mujer,divorciado,formacion_profesional,empleado,11.9,1157.24,2,hipotecada,Barcelona,activo
136,2011-05-11,1989-06-11,hombre,soltero,secundaria,empleado,4.0,2770.87,2,alquiler,Barcelona,activo
137,2019-05-21,1971-11-11,hombre,soltero,formacion_profesional,empleado,5.0,2062.39,2,hipotecada,Málaga,activo
138,2022-09-26,1984-01-10,hombre,viudo,formacion_profesional,empleado,6.2,2532.91,1,propia,Barcelona,activo
139,2025-12-28,1980-01-17,hombre,soltero,bachillerato,empleado,9.5,1794.04,2,alquiler,Sevilla,inactivo
140,2008-08-01,1977-01-24,hombre,divorciado,formacion_profesional,empleado,8.0,2234.74,1,propia,Valencia,activo
141,2020-10-28,1998-08-25,hombre,casado,universitario,empleado,7.8,2337.57,1,hipotecada,Barcelona,activo
142,2018-11-07,1999-12-28,mujer,casado,universitario,jubilado,\N,1652.2,0,propia,Zaragoza,activo
143,2009-08-10,1973-07-17,hombre,viudo,formacion_profesional,autonomo,2.9,2432.69,0,propia,Murcia,activo
144,2016-05-01,1989-06-19,hombre,soltero,posgrado,empleado,3.2,1357.27,1,alquiler,Málaga,activo
145,2025-09-03,2003-08-07,mujer,casado,universitario,autonomo,4,1153.47,3,alquiler,Valencia,activo
146,2021-04-29,1970-04-26,mujer,viudo,universitario,jubilado,\N,1727.55,2,alquiler,Vizcaya,activo
147,2016-08-08,1990-11-08,hombre,soltero,secundaria,empleado,9.5,2885.38,3,propia,A Coruña,activo
148,2016-02-18,1997-02-25,mujer,divorciado,bachillerato,empleado,0,1763.32,2,familiar,A Coruña,activo
149,2015-09-25,1990-07-22,mujer,casado,universitario,empleado,13.1,2252.59,0,alquiler,Murcia,activo
150,2020-01-22,1970-08-06,hombre,viudo,bachillerato,empleado,8.3,2318.61,0,propia,Valencia,activo
151,2014-04-04,1972-09-16,hombre,casado,formacion_profesional,jubilado,\N,707.92,1,propia,Murcia,activo
152,2006-02-27,1980-03-25,mujer,casado,formacion_profesional,empleado,5.2,2925.84,2,hipotecada,Zaragoza,activo
153,2016-06-12,1994-03-14,hombre,casado,universitario,jubilado,\N,2784.16,0,hipotecada,Alicante,bloqueado
154,2013-07-16,1968-02-07,hombre,viudo,universitario,empleado,3.8,2531.08,0,alquiler,Sevilla,activo
155,2015-08-28,1992-09-15,hombre,casado,formacion_profesional,autonomo,12.5,3583.83,0,hipotecada,Zaragoza,activo
156,2021-08-03,1984-08-06,mujer,soltero,universitario,empleado,16.3,1017.73,1,hipotecada,Barcelona,activo
157,2014-04-02,1964-06-27,hombre,soltero,universitario,empleado,4.5,2410.6,0,hipotecada,A Coruña,activo
158,2005-02-24,1966-06-22,hombre,viudo,universitario,empleado,3.2,2074.41,2,familiar,Barcelona,activo
159,2009-04-22,1969-02-27,mujer,viudo,universitario,empleado,4.0,1713.34,2,familiar,Sevilla,activo
160,2025-01-12,1992-05-20,hombre,viudo,universitario,jubilado,\N,2642.37,1,propia,Madrid,activo
161,2019-06-20,1984-11-20,hombre,casado,posgrado,desempleado,0,671.19,0,hipotecada,A Coruña,activo
162,2018-11-24,1994-10-31,mujer,viudo,posgrado,empleado,13,3994.15,0,alquiler,A Coruña,inactivo
163,2017-09-17,1977-02-27,hombre,soltero,formacion_profesional,desempleado,4.2,114.71,0,familiar,Madrid,activo
164,2012-08-22,1975-05-24,mujer,viudo,formacion_profesional,empleado,9.1,2643.26,3,alquiler,Alicante,activo
165,2024-10-26,2002-07-28,hombre,casado,universitario,empleado,5,3226.39,2,alquiler,Barcelona,activo
166,2013-01-27,1954-11-16,hombre,soltero,universitario,autonomo,15.8,2330.89,1,hipotecada,Alicante,activo
167,2021-04-04,1969-05-18,mujer,casado,universitario,estudiante,0,678.02,3,propia,Málaga,inactivo
168,2011-02-22,1989-05-29,hombre,viudo,universitario,empleado,12.5,1991.2,0,propia,Barcelona,activo
169,2012-06-14,1981-12-10,mujer,casado,formacion_profesional,desempleado,0,889.44,0,hipotecada,Sevilla,activo
170,2012-01-18,1963-10-29,hombre,divorciado,universitario,empleado,6.3,1995.76,3,alquiler,Barcelona,activo
171,2022-12-08,2002-09-16,hombre,divorciado,universitario,empleado,0,2415.52,0,propia,Alicante,activo
172,2022-09-27,1993-07-21,mujer,viudo,universitario,empleado,10.0,1852.37,0,familiar,Alicante,activo
173,2005-10-29,1970-09-26,hombre,casado,universitario,desempleado,4.8,242.54,1,alquiler,A Coruña,activo
174,2019-07-05,1944-07-19,mujer,casado,formacion_profesional,empleado,10.9,2101.47,0,alquiler,A Coruña,activo
175,2015-10-30,1986-06-18,hombre,viudo,secundaria,empleado,4.3,1566.73,0,hipotecada,Murcia,activo
176,2008-01-26,1987-07-03,mujer,casado,universitario,empleado,10.8,1961.28,2,alquiler,Alicante,activo
177,2019-02-15,1973-12-05,hombre,viudo,formacion_profesional,empleado,6.1,2585.0,0,hipotecada,Sevilla,activo
178,2018-05-06,1987-05-30,hombre,viudo,universitario,empleado,14.7,2964.51,0,hipotecada,A Coruña,activo
179,2020-02-16,1994-05-03,mujer,soltero,universitario,empleado,10.2,2128.16,1,alquiler,Sevilla,activo
180,2008-03-04,1986-07-11,mujer,casado,universitario,empleado,10.0,2068.11,0,alquiler,Valencia,activo
181,2006-03-16,1972-08-17,hombre,viudo,posgrado,estudiante,0,1270.51,3,alquiler,Murcia,activo
182,2024-06-11,1996-07-02,hombre,viudo,universitario,empleado,10.1,2797.87,0,hipotecada,Murcia,activo
183,2014-05-01,1990-05-03,mujer,casado,posgrado,desempleado,2.3,782.19,2,propia,Sevilla,activo
184,2013-10-16,1995-01-30,mujer,divorciado,posgrado,empleado,0,1283.82,2,hipotecada,Alicante,activo
185,2018-10-27,1967-04-08,hombre,divorciado,formacion_profesional,empleado,11.3,1728.57,0,propia,Vizcaya,activo
186,2023-04-14,1978-07-19,mujer,viudo,formacion_profesional,empleado,9.5,2893.62,2,alquiler,Málaga,activo
187,2017-11-23,1990-08-14,hombre,soltero,posgrado,empleado,7.0,2950.56,2,hipotecada,Barcelona,activo
188,2026-05-27,2004-11-08,hombre,divorciado,formacion_profesional,autonomo,3,2340.66,0,alquiler,A Coruña,activo
189,2022-09-06,1985-10-25,mujer,viudo,formacion_profesional,empleado,14.1,2493.08,0,familiar,Alicante,activo
190,2020-06-11,1969-03-19,hombre,divorciado,bachillerato,estudiante,0,869.02,2,alquiler,Valencia,activo
191,2019-04-20,1992-06-04,hombre,casado,formacion_profesional,empleado,5.0,4016.22,0,alquiler,Madrid,activo
192,2012-09-15,1980-07-09,hombre,soltero,secundaria,desempleado,1.3,1320.11,0,alquiler,Málaga,activo
193,2019-05-23,1968-04-23,hombre,casado,formacion_profesional,jubilado,\N,2403.89,0,hipotecada,Valencia,activo
194,2024-04-15,1966-11-17,mujer,casado,universitario,empleado,3.7,1856.78,2,hipotecada,A Coruña,activo
195,2024-03-19,1991-06-18,hombre,viudo,formacion_profesional,estudiante,0,1463.43,0,propia,Sevilla,activo
196,2022-02-04,1989-10-18,hombre,viudo,formacion_profesional,empleado,7.1,5029.14,4,hipotecada,Murcia,activo
197,2018-03-05,1960-06-22,mujer,soltero,universitario,empleado,4.6,2225.67,1,alquiler,Valencia,activo
198,2025-08-28,1985-10-12,mujer,soltero,formacion_profesional,empleado,11.2,3392.72,0,alquiler,Sevilla,activo
199,2007-08-09,1977-11-20,hombre,casado,universitario,empleado,7.8,2437.99,2,propia,Zaragoza,activo
200,2026-03-28,2008-02-19,hombre,soltero,bachillerato,empleado,0,2613.36,2,familiar,Barcelona,activo
201,2024-01-04,2000-06-02,mujer,soltero,bachillerato,estudiante,0,660.13,0,alquiler,Madrid,activo
202,2015-08-01,1982-06-07,mujer,viudo,bachillerato,empleado,6.4,3071.34,3,propia,Zaragoza,activo
203,2007-09-06,1983-12-23,mujer,soltero,posgrado,empleado,9.0,3027.52,2,hipotecada,Málaga,inactivo
204,2018-09-30,1992-06-26,mujer,viudo,posgrado,empleado,12.6,2335.47,1,hipotecada,Vizcaya,activo
205,2025-11-30,1983-06-28,mujer,soltero,universitario,empleado,3.3,1685.63,2,alquiler,Málaga,activo
206,2014-06-02,1970-03-01,mujer,divorciado,formacion_profesional,empleado,10.7,2561.48,3,hipotecada,A Coruña,activo
207,2006-09-06,1976-12-11,hombre,divorciado,formacion_profesional,empleado,8.5,1566.09,2,propia,Barcelona,activo
208,2007-06-12,1975-09-05,mujer,casado,formacion_profesional,empleado,6.1,1460.37,0,alquiler,Barcelona,activo
209,2023-07-15,1962-01-26,mujer,divorciado,formacion_profesional,autonomo,13.9,3056.96,2,propia,Málaga,activo
210,2026-05-10,1986-06-15,mujer,casado,bachillerato,empleado,22,1944.04,0,propia,Sevilla,activo
211,2020-05-24,1965-12-22,hombre,soltero,bachillerato,empleado,13.8,2757.37,0,hipotecada,Valencia,activo
212,2007-10-01,1961-01-12,hombre,soltero,formacion_profesional,empleado,12.3,2133.78,1,alquiler,Zaragoza,activo
213,2015-01-02,1982-02-07,hombre,divorciado,formacion_profesional,estudiante,0,869.8,0,hipotecada,Murcia,activo
214,2014-05-28,1973-04-21,mujer,viudo,universitario,empleado,8.5,3733.21,1,alquiler,Vizcaya,activo
215,2016-04-08,1980-09-14,mujer,viudo,universitario,empleado,2.5,2348.27,2,hipotecada,Sevilla,activo
216,2010-05-30,1976-07-29,hombre,divorciado,universitario,empleado,6.6,2971.12,2,hipotecada,A Coruña,activo
217,2017-08-23,1961-09-13,mujer,soltero,universitario,empleado,8.4,2274.51,0,propia,A Coruña,activo
218,2025-08-10,1981-04-01,hombre,soltero,universitario,desempleado,2.0,1076.99,0,hipotecada,Barcelona,activo
219,2020-10-20,1986-12-22,hombre,viudo,universitario,jubilado,\N,1567.13,0,familiar,Zaragoza,activo
220,2020-11-11,1980-04-02,mujer,casado,formacion_profesional,jubilado,\N,1350.84,2,hipotecada,Málaga,activo
221,2026-05-14,2008-04-26,hombre,soltero,bachillerato,autonomo,0,9177.25,1,familiar,Valencia,activo
222,2024-11-09,1985-08-09,hombre,casado,bachillerato,jubilado,\N,2074.03,2,propia,Málaga,activo
223,2020-05-06,2002-05-06,hombre,viudo,universitario,empleado,6,2052.5,2,alquiler,Sevilla,activo
224,2015-02-14,1971-04-09,hombre,soltero,universitario,empleado,1.8,3028.71,0,familiar,Barcelona,activo
225,2018-04-29,1952-01-09,mujer,viudo,bachillerato,jubilado,\N,2361.53,0,propia,Sevilla,activo
226,2024-05-24,1997-03-25,mujer,viudo,bachillerato,autonomo,7.5,5865.63,0,alquiler,Alicante,activo
227,2011-08-10,1972-05-17,mujer,soltero,formacion_profesional,desempleado,0,486.14,0,propia,Alicante,activo
228,2026-03-06,2008-02-16,hombre,viudo,formacion_profesional,autonomo,0,2280.81,0,propia,Málaga,activo
229,2023-06-24,1990-07-10,hombre,soltero,universitario,empleado,5.9,3895.75,0,hipotecada,Alicante,activo
230,2017-11-05,1962-10-31,mujer,soltero,formacion_profesional,estudiante,0,535.67,0,familiar,A Coruña,activo
231,2020-05-21,1992-04-30,hombre,casado,universitario,empleado,0.8,2769.26,0,propia,Barcelona,inactivo
232,2012-04-25,1967-09-22,hombre,viudo,secundaria,estudiante,0,882.03,1,propia,A Coruña,activo
233,2022-12-08,2004-05-10,hombre,viudo,universitario,empleado,2.6,1528.22,1,alquiler,Murcia,activo
234,2018-11-13,1973-04-18,hombre,viudo,posgrado,empleado,7.9,2508.79,2,familiar,Madrid,activo
235,2021-05-02,1997-01-22,hombre,viudo,universitario,desempleado,3.4,1530.71,3,alquiler,Alicante,activo
236,2024-11-16,1999-08-26,hombre,casado,secundaria,empleado,2.2,1418.43,1,hipotecada,Alicante,activo
237,2022-07-04,1975-04-23,mujer,casado,secundaria,estudiante,0,711.6,0,propia,Zaragoza,activo
238,2009-06-20,1985-07-05,mujer,casado,posgrado,empleado,5.3,3369.0,0,alquiler,Vizcaya,activo
239,2014-09-18,1989-01-02,mujer,casado,universitario,empleado,4.7,2613.42,1,propia,Alicante,inactivo
